Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
171010_Ip_Hela_ugi	250	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	251	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	252	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	253	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	254	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	255	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	256	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	257	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	258	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	259	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	260	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	261	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	262	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	263	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	264	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	265	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	266	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	267	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	268	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	269	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	270	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	271	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	272	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	273	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	274	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	275	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	276	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	277	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	278	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	279	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	280	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	281	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	282	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	283	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	284	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	285	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	286	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	287	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	288	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	289	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	290	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	291	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	292	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	293	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	294	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	295	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	296	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	297	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	298	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	299	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	300	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	301	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	302	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	303	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	304	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	305	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	306	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	307	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	308	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	309	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	310	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	311	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	312	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	313	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	314	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	315	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	316	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	317	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	318	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	319	0	0	0	0	0	0	NaN	0	0	
