Mass	mmu	ppm	
836.21246	2.509	3.00
838.71729	2.516	3.00
841.68695	2.525	3.00
850.10614	2.550	3.00
854.72064	2.564	3.00
862.43018	2.587	3.00
864.01245	2.592	3.00
864.48047	2.593	3.00
874.52106	2.624	3.00
878.76373	2.636	3.00
881.83887	2.646	3.00
888.27692	2.665	3.00
896.65503	2.690	3.00
899.79657	2.699	3.00
912.06812	2.736	3.00
916.12708	2.748	3.00
919.14825	2.757	3.00
920.99561	2.763	3.00
923.68903	2.771	3.00
928.54639	2.786	3.00
930.93079	2.793	3.00
936.62335	2.810	3.00
943.66974	2.831	3.00
944.48242	2.833	3.00
950.88599	2.853	3.00
954.85358	2.865	3.00
955.12488	2.865	3.00
959.75299	2.879	3.00
960.13940	2.880	3.00
968.70984	2.906	3.00
975.01855	2.925	3.00
975.65033	2.927	3.00
975.77991	2.927	3.00
977.51257	2.933	3.00
983.48560	2.950	3.00
991.76654	2.975	3.00
996.55798	2.990	3.00
997.68909	2.993	3.00
998.26941	2.995	3.00
1016.72491	3.050	3.00
1018.14435	3.054	3.00
1019.59167	3.059	3.00
1019.80444	3.059	3.00
1026.22009	3.079	3.00
1031.52271	3.095	3.00
1032.05798	3.096	3.00
1042.02551	3.126	3.00
1046.28357	3.139	3.00
1047.42505	3.142	3.00
1072.72656	3.218	3.00
1078.09290	3.234	3.00
1078.42371	3.235	3.00
1124.06140	3.372	3.00
1129.56152	3.389	3.00
1140.88892	3.423	3.00
1153.37500	3.460	3.00
1162.56421	3.488	3.00
1174.71765	3.524	3.00
1176.08179	3.528	3.00
1187.22449	3.562	3.00
1213.83716	3.642	3.00
1242.91528	3.729	3.00
1253.76758	3.761	3.00
1263.91553	3.792	3.00
1264.89124	3.795	3.00
1286.49609	3.859	3.00
1315.53857	3.947	3.00
1340.10461	4.020	3.00
1348.90027	4.047	3.00
1394.56177	4.184	3.00
1411.03015	4.233	3.00
1415.57068	4.247	3.00
1420.92993	4.263	3.00
1424.03149	4.272	3.00
1429.88098	4.290	3.00
1443.34900	4.330	3.00
1533.82446	4.601	3.00
1575.32056	4.726	3.00
