MZ1,sumIntensity,Mean, Deviation,log2sumIntensity,ionsWithinErrTolerance
599.622,488009,0.0050629882823614,1.98787713094127E-06,18.8965482290603,27
447.347,471214,0.0579331054730119,2.33225835584936E-05,18.8460228774221,214
594.158,441527,0.0166123046841449,1.50509243006338E-05,18.7521421378487,218
428.891,426042,0.00183056640611312,6.49009466099674E-07,18.7006361354159,8
445.122,418560,-0.00391967773458646,1.39467626821125E-06,18.6750749203854,16
577.127,413516,0.030629882824087,1.90834212332133E-05,18.6575836265034,246
505.105,403416,0.0368359374956526,2.18312203870724E-05,18.6219087786725,240
577.128,397535,-0.027338378917193,2.22222902798182E-05,18.6007223589937,257
448.117,376286,0.0227658691360944,2.34067503801439E-05,18.521470088301,244
494.72,362449,0.00586791991690916,1.26735225316661E-05,18.4674184830172,183
505.106,332748,-0.0345161132800058,1.88657658096361E-05,18.3440704692028,229
504.109,315781,-0.0307045898399565,1.6881506084195E-05,18.2685648437654,195
595.156,305237,0.00298291016679286,1.75776917937456E-05,18.2195703267833,208
415.038,294958,-0.0491215820334219,1.99979183684581E-05,18.1701500136383,200
446.121,290550,-0.0123828124991405,5.04994511557008E-06,18.1484269290991,46
519.141,286050,-0.00754394531156777,3.31952571812635E-06,18.1259078188086,26
434.882,284960,0.00193383789058998,6.47602260093416E-07,18.120399895989,8
741.197,280573,-0.00739941406300204,1.18384299278663E-05,18.0980166571641,185
415.037,275096,0.0411491699260864,1.90813500303486E-05,18.0695756369113,190
446.768,266506,-0.0459008789015343,1.82998347256944E-05,18.0238084879946,171
411.173,264155,-0.0239265136722224,1.21586143375314E-05,18.0110251923223,192
495.797,258242,0.0102116699185899,1.0056015908198E-05,17.9783641314106,130
504.107,257921,0.0211484374970041,1.10852731454561E-05,17.9765697169802,109
520.138,256044,0.0157153320292309,6.53831601037115E-06,17.9660322265653,61
467.803,233321,-0.0213913574216349,9.39548593747863E-06,17.83195663702,89
448.118,224291,-0.0316152343742147,1.40813701149639E-05,17.7750122058023,158
440.8,221586,0.0142517089827265,1.10978260633089E-05,17.7575072079511,146
593.16,218888,-0.0214868164041491,8.82900357109604E-06,17.7398333388916,67
422.79,211073,-0.0223303222682034,9.97014194818335E-06,17.6873825185062,127
448.351,207407,0.00616674804700779,8.92238980532812E-06,17.6621050604629,147
594.16,203032,-0.00990234374614829,9.10589694913763E-06,17.6313476038323,122
637.499,199984,0.0038017578117433,1.53153610211512E-06,17.6095250542167,33
434.753,197327,0.0140329589863768,9.92072659770478E-06,17.5902288461144,143
668.178,182098,0.00617138671907469,8.67647147182017E-06,17.474355551579,120
527.597,181468,0.00299511718822032,2.39702367794579E-06,17.4693556407761,37
667.179,179665,-0.0148520507785861,1.02537844173226E-05,17.4549498635605,102
605.575,171301,-0.00351562500145519,1.92105770143059E-06,17.3861740478717,33
539.62,168700,-0.00364501953140461,2.2811353206966E-06,17.3641004480623,35
595.155,167226,0.0110473632839785,8.95455479682174E-06,17.3514396469448,101
522.137,165294,-0.00416113280562058,8.95486402464669E-06,17.3346748316905,123
741.196,164410,0.00678271484116522,8.10434746706468E-06,17.3269385259604,99
472.773,163395,-0.0194938964864377,8.28156179285422E-06,17.3180043111299,85
