Scan	BasePeak	RT	MaxIntensity	CumulativeIntensity
285	430.889434814453	2.64418166666667	32167.7578125	21863889.4506226
286	430.888793945313	2.65374	34160.7109375	21920247.8671875
288	430.88916015625	2.66680333333333	40819.28515625	21989626.1536865
289	430.889434814453	2.675915	49541.6875	22066551.6263428
290	430.888977050781	2.68539833333333	33718.92578125	22117379.2166748
291	430.888793945313	2.69497	32643.125	22171621.5936279
292	430.888885498047	2.704475	31452.744140625	22227044.1877747
295	430.889343261719	2.72149	30642.154296875	22280124.3244629
296	430.88916015625	2.73045	35185.6796875	22335838.737854
297	430.889068603516	2.74007833333333	30045.8046875	22383762.7653198
298	430.888732910156	2.74990166666667	31062.630859375	22433619.3057251
299	430.889251708984	2.759065	31118.4921875	22483872.2109375
300	430.889343261719	2.76859666666667	33097.46484375	22536630.0786438
301	430.888793945313	2.77814166666667	52382.8515625	22618375.2854919
302	430.888977050781	2.78770333333333	33182.34765625	22672629.995636
303	430.889068603516	2.79718333333333	33720.73046875	22725293.1629944
304	430.888977050781	2.806765	35061.88671875	22778168.9387512
305	430.888977050781	2.81663666666667	33018.9296875	22832707.0351868
306	430.889251708984	2.82598166666667	33567.625	22893412.649231
307	430.889068603516	2.83554833333333	37405.3828125	22952379.9533997
308	430.888885498047	2.845215	41815.0234375	23021008.0708923
309	430.88916015625	2.854795	44329.36328125	23086926.8581848
310	430.889068603516	2.86439166666667	29584.06640625	23137274.8772888
312	430.888732910156	2.87738	31925.376953125	23190390.406311
313	430.889251708984	2.88642333333333	35056.921875	23245196.2761841
315	430.888977050781	2.899605	35514.609375	23302773.4483643
316	430.888977050781	2.908685	38337.15234375	23363931.052124
317	430.888885498047	2.91848333333333	36157.73828125	23421777.1842651
318	430.888977050781	2.92769833333333	34673.36328125	23477995.4678955
319	430.888793945313	2.937375	40637.3984375	23542401.0546875
320	430.888793945313	2.946925	33436.94921875	23599488.4086609
322	430.888885498047	2.960055	32621.0859375	23650384.7622986
323	430.888977050781	2.96911166666667	31029.234375	23702029.9247742
324	430.889251708984	2.97873666666667	28614.369140625	23750923.8317566
325	430.88916015625	2.98827833333333	39767.4921875	23817613.9023743
326	430.888732910156	2.99782666666667	38329.29296875	23880828.4060364
328	430.888885498047	3.01098166666667	33277.7578125	23935446.165802
329	430.888732910156	3.02008833333333	32792.08203125	23987870.7848816
330	430.888549804688	3.02961833333333	39234.61328125	24049715.4544983
332	430.889251708984	3.04269333333333	39712.53125	24114707.5417175
334	430.889617919922	3.055355	62757.3046875	24214527.7092896
335	430.889099121094	3.065325	67756.1484375	24321098.1889343
337	430.889099121094	3.079415	69999.0859375	24433509.2835083
338	430.88916015625	3.08942	84648.8515625	24569451.928894
339	430.88916015625	3.099875	72086.7578125	24682377.1429443
340	430.88916015625	3.11035833333333	82134.625	24814664.1393433
341	430.888885498047	3.12086666666667	55175.6484375	24901764.2734375
343	430.888458251953	3.13365666666667	60253.14453125	24999001.5842896
344	430.888793945313	3.142595	48215.328125	25077023.0708923
345	430.888885498047	3.15206166666667	52571.08984375	25161984.4769592
347	430.888977050781	3.165055	48124.87109375	25238201.2382507
349	430.888885498047	3.17754	48013.21484375	25315096.7767029
350	430.888732910156	3.18642166666667	57504.86328125	25407114.5158386
351	430.888885498047	3.19587333333333	45454.734375	25477680.0650635
353	430.888977050781	3.20900333333333	45253.8046875	25546113.5595093
355	430.888732910156	3.22165333333333	42557.125	25616414.8754272
356	430.889251708984	3.23070666666667	37479.65234375	25674546.0162964
358	430.889434814453	3.24394333333333	41969.35546875	25741587.0117798
360	430.889434814453	3.25654833333333	45586.10546875	25815864.2780762
361	430.889068603516	3.265485	79298.0625	25938717.9757385
362	430.889434814453	3.27505833333333	55533.23828125	26027085.3934631
363	430.888793945313	3.28474333333333	48905.00390625	26101944.164978
364	430.888732910156	3.29384833333333	40446.89453125	26172366.8217773
365	430.889251708984	3.30325333333333	46149.140625	26248260.5799561
366	430.889343261719	3.31279	46674.14453125	26323003.4136353
367	430.888885498047	3.32225833333333	49972.65234375	26398361.6117554
