MZ	sumIntensity
468.804	3422
536.165	3421
816.752	3415
446.719	3412
670.174	3411
713.759	3408
867.603	3408
782.197	3408
663.779	3407
919.278	3407
563.798	3405
767.218	3405
742.67	3403
732.79	3400
449.116	3400
415.807	3400
653.694	3397
767.243	3394
723.236	3392
794.167	3391
742.652	3391
752.085	3390
609.777	3386
747.18	3384
677.773	3384
642.743	3383
697.38	3382
885.142	3380
652.755	3379
799.701	3378
774.213	3376
881.187	3374
667.726	3372
813.681	3371
773.778	3369
805.797	3367
1321.993	3366
683.587	3366
428.747	3364
767.438	3363
788.706	3362
809.721	3361
820.37	3361
473.771	3358
774.755	3358
782.67	3358
705.785	3357
769.682	3356
776.263	3356
468.184	3356
554.63	3356
664.814	3355
775.727	3354
552.707	3352
827.795	3352
471.705	3348
892.661	3345
788.13	3343
736.725	3339
473.686	3339
765.264	3336
810.496	3336
555.686	3335
691.2	3333
489.711	3332
474.769	3332
728.301	3327
711.679	3327
424.777	3327
729.299	3327
408.809	3326
550.701	3325
890.639	3324
523.714	3324
426.774	3320
492.761	3319
794.668	3317
808.245	3316
418.78	3315
538.656	3315
727.592	3313
770.755	3305
456.746	3305
792.768	3304
701.753	3304
669.735	3303
719.227	3302
584.806	3298
600.685	3297
448.121	3296
626.831	3292
447.1	3290
466.817	3289
844.726	3287
653.777	3286
672.742	3285
623.559	3284
680.703	3283
654.779	3283
688.545	3279
837.219	3277
448.122	3276
580.648	3275
505.716	3272
693.549	3272
766.296	3269
815.214	3268
483.71	3267
477.662	3265
730.723	3261
602.736	3259
738.755	3257
631.714	3257
718.744	3257
914.326	3256
780.191	3252
913.776	3251
554.685	3248
470.794	3241
510.594	3241
502.689	3240
740.676	3238
465.805	3237
785.717	3237
706.697	3236
475.759	3233
485.716	3232
640.75	3231
401.778	3231
984.699	3231
757.774	3231
728.749	3222
630.615	3222
702.22	3221
747.718	3219
804.68	3216
833.658	3213
447.123	3210
921.606	3208
665.713	3205
652.216	3204
566.651	3202
746.714	3201
821.772	3198
643.812	3192
639.561	3192
723.775	3191
664.744	3187
556.621	3184
679.53	3181
716.236	3172
845.185	3167
860.728	3166
663.686	3164
424.747	3161
685.531	3160
723.155	3158
755.585	3156
636.741	3155
818.63	3155
439.844	3155
1219.113	3155
796.684	3149
709.523	3145
801.682	3143
737.288	3141
665.555	3138
671.252	3133
698.213	3126
746.22	3121
541.656	3121
731.75	3120
600.622	3109
786.72	3107
432.897	3107
766.469	3106
790.713	3104
926.646	3103
683.528	3103
675.727	3100
606.253	3099
715.201	3097
678.726	3097
868.187	3083
963.602	3077
613.738	3073
622.614	3058
407.721	3057
850.76	3052
910.605	3047
913.612	3041
904.668	3035
815.158	3030
439.781	3028
944.6	3026
917.597	3026
881.634	3024
655.703	3022
745.714	3022
889.767	3018
742.701	3018
664.51	3017
734.736	3016
776.167	3010
817.778	3010
870.679	3009
701.729	3005
914.325	3004
688.544	3000
775.744	2998
