Scan	ContainScans	BasePeak	MaxIntensity	RT	MostIntenseMass2Charge	CumulativeIntensity	TotalScans
332	836	430.889251708984	39712	3.04269333333333	430.88916015625	23588566	23261
334	531	430.889617919922	62757	3.055355	430.889556884766	23686870	23316
335	577	430.889099121094	67756	3.065325	430.889099121094	23793068	23379
337	430	430.889099121094	69999	3.079415	430.889129638672	23905081	23450
338	499	430.88916015625	84648	3.08942	430.889129638672	24041021	23517
339	544	430.88916015625	72086	3.099875	430.889099121094	24153516	23585
340	516	430.88916015625	82134	3.11035833333333	430.889129638672	24283963	23657
341	572	430.888885498047	55175	3.12086666666667	430.888977050781	24369199	23915
343	523	430.888458251953	60253	3.13365666666667	430.888885498047	24465042	24051
344	561	430.888793945313	48215	3.142595	430.889099121094	24540225	24189
345	698	430.888885498047	52571	3.15206166666667	430.889099121094	24622600	24372
347	615	430.888977050781	48124	3.165055	430.889038085938	24696893	24528
349	512	430.888885498047	48013	3.17754	430.888977050781	24771185	24675
350	497	430.888732910156	57504	3.18642166666667	430.889129638672	24861253	24819
351	589	430.888885498047	45454	3.19587333333333	430.889007568359	24930637	24992
353	634	430.888977050781	45253	3.20900333333333	430.889068603516	24997955	25158
355	491	430.888732910156	42557	3.22165333333333	430.889282226563	25063545	25316
356	602	430.889251708984	37479	3.23070666666667	430.889343261719	25119444	25459
358	702	430.889434814453	41969	3.24394333333333	430.889373779297	25184029	25635
360	562	430.889434814453	45586	3.25654833333333	430.889312744141	25257637	25782
361	548	430.889068603516	79298	3.265485	430.889282226563	25378541	25942
362	704	430.889434814453	55533	3.27505833333333	430.889373779297	25463853	26129
363	668	430.888793945313	48905	3.28474333333333	430.889312744141	25536924	26267
364	611	430.888732910156	40446	3.29384833333333	430.88916015625	25604824	26430
365	605	430.889251708984	46149	3.30325333333333	430.889465332031	25677885	26576
366	626	430.889343261719	46674	3.31279	430.889434814453	25750173	26743
367	554	430.888885498047	49972	3.32225833333333	430.889343261719	25823597	26886
368	536	430.889343261719	42709	3.33171666666667	430.889404296875	25890451	27024
369	543	430.889251708984	59184	3.34125666666667	430.889495849609	25984795	27185
370	546	430.889434814453	50412	3.35108666666667	430.889526367188	26062989	27345
