bin	frequency_per_min	period_min	magnitude
272	25.295215	0.0395	262.79
273	25.388212	0.0394	2236.65
274	25.481210	0.0392	923.45
275	25.574207	0.0391	1025.34
276	25.667204	0.0390	1666.34
277	25.760201	0.0388	620.01
278	25.853198	0.0387	1723.17
279	25.946195	0.0385	791.78
280	26.039192	0.0384	830.87
281	26.132189	0.0383	487.66
282	26.225186	0.0381	1254.33
283	26.318184	0.0380	828.60
284	26.411181	0.0379	1646.87
285	26.504178	0.0377	1534.37
286	26.597175	0.0376	1780.87
287	26.690172	0.0375	1494.58
288	26.783169	0.0373	685.72
289	26.876166	0.0372	399.36
290	26.969163	0.0371	926.78
291	27.062160	0.0370	1898.89
292	27.155158	0.0368	1171.16
293	27.248155	0.0367	891.15
294	27.341152	0.0366	152.84
295	27.434149	0.0365	764.53
296	27.527146	0.0363	486.09
297	27.620143	0.0362	371.28
298	27.713140	0.0361	1715.13
299	27.806137	0.0360	1921.83
300	27.899135	0.0358	821.77
301	27.992132	0.0357	412.30
302	28.085129	0.0356	2133.35
303	28.178126	0.0355	99.65
304	28.271123	0.0354	1936.73
305	28.364120	0.0353	884.77
306	28.457117	0.0351	1422.97
307	28.550114	0.0350	1004.12
308	28.643111	0.0349	819.84
309	28.736109	0.0348	559.13
310	28.829106	0.0347	794.64
311	28.922103	0.0346	662.39
312	29.015100	0.0345	2009.54
313	29.108097	0.0344	2367.72
314	29.201094	0.0342	968.66
315	29.294091	0.0341	3124.80
316	29.387088	0.0340	1161.63
317	29.480085	0.0339	1959.86
318	29.573083	0.0338	1883.01
319	29.666080	0.0337	1569.06
320	29.759077	0.0336	1731.87
321	29.852074	0.0335	612.60
322	29.945071	0.0334	1177.05
323	30.038068	0.0333	1202.40
324	30.131065	0.0332	997.43
325	30.224062	0.0331	1487.72
326	30.317060	0.0330	1898.35
327	30.410057	0.0329	1277.20
328	30.503054	0.0328	1072.31
329	30.596051	0.0327	801.23
330	30.689048	0.0326	1301.73
331	30.782045	0.0325	354.14
