BasePeak(1221points)	RT	Intensity
863	452.482	53607
864	453.071	53127
865	453.670	57608
866	454.260	53738
867	454.846	54246
868	455.436	52428
869	456.025	51064
870	456.622	60626
871	457.215	50480
872	457.817	47282
873	458.365	245
874	458.631	40847
875	459.200	52226
876	459.793	53579
877	460.394	61037
878	460.983	57075
879	461.519	305
880	461.778	55594
881	462.338	52709
882	462.938	42535
883	463.544	53924
884	464.139	51384
885	464.735	56025
886	465.292	143
887	465.561	59022
888	466.122	56732
889	466.715	51074
890	467.265	207
891	467.531	52454
892	468.055	189
893	468.316	52980
894	468.885	54717
895	469.481	49180
896	470.073	51561
897	470.631	374
898	470.891	50836
899	471.450	54328
900	472.056	52992
901	472.656	57563
902	473.207	221
903	473.469	65831
904	473.980	345
905	474.243	62383
906	474.802	65832
907	475.347	254
908	475.562	146
909	475.774	242
910	476.026	53387
911	476.596	60590
912	477.140	334
913	477.403	56607
914	477.973	49814
915	478.578	47426
916	479.133	319
917	479.394	40534
918	479.924	382
919	480.185	36371
920	480.769	39371
921	481.370	42408
922	481.983	78503
923	482.614	47833
924	483.206	49008
925	483.752	306
926	484.014	49489
927	484.582	46660
928	485.191	99927
929	485.788	113044
930	486.370	346
931	486.628	53723
932	487.203	61214
933	487.797	52640
934	488.396	49829
935	488.971	210
936	489.190	521
937	489.445	44688
938	490.014	44376
939	490.618	46156
940	491.230	51838
941	491.821	53488
942	492.370	294
943	492.632	53048
944	493.203	57562
945	493.796	59155
946	494.335	73
947	494.605	54789
948	495.164	46636
949	495.718	213
950	495.978	48534
951	496.496	191
952	496.760	52094
953	497.322	46647
954	497.919	41735
955	498.519	41292
956	499.125	39303
957	499.726	38096
958	500.327	41016
959	500.929	44025
960	501.536	69924
961	502.160	73283
962	502.793	73359
963	503.419	126292
964	504.051	41423
965	504.587	371
966	504.852	45945
967	505.365	399
968	505.625	114356
969	506.223	87968
970	506.855	91690
971	507.482	82413
972	508.111	81553
973	508.741	78208
974	509.372	70949
975	509.999	40604
976	510.533	218
977	510.794	62521
978	511.367	38000
979	511.975	36931
980	512.571	34761
981	513.174	46134
982	513.786	67285
983	514.412	69068
984	515.063	71905
985	515.622	213
986	515.883	69592
987	516.481	73597
988	517.111	78677
989	517.740	42958
990	518.336	39465
991	518.881	226
992	519.144	106403
993	519.743	80840
994	520.375	43664
995	520.984	41089
996	521.559	77314
997	522.160	47185
998	522.757	57931
999	523.355	36949
1000	523.955	45169
1001	524.552	53522
1002	525.103	213
1003	525.365	77345
1004	525.963	72269
1005	526.591	68268
1006	527.177	377
1007	527.436	71244
1008	528.035	29448
1009	528.627	45664
1010	529.224	74411
1011	529.822	33503
1012	530.417	66884
1013	531.066	62998
1014	531.679	74846
1015	532.312	68568
1016	532.935	73341
1017	533.566	93729
1018	534.198	78642
1019	534.824	36107
1020	535.360	184
1021	535.624	56425
1022	536.140	191
1023	536.401	71918
1024	537.019	40358
1025	537.581	32103
1026	538.125	415
1027	538.390	69219
1028	538.987	65406
1029	539.617	130844
1030	540.245	70079
1031	540.879	74151
1032	541.458	242
1033	541.671	572
1034	541.925	80635
1035	542.529	79179
1036	543.047	260
1037	543.319	59973
1038	543.868	50151
1039	544.453	87340
1040	545.107	87513
1041	545.714	87233
1042	546.342	81325
1043	546.972	85618
1044	547.604	97588
1045	548.231	88714
1046	548.861	80851
1047	549.491	92703
1048	550.124	87449
1049	550.750	79772
1050	551.379	77997
1051	552.008	91982
1052	552.646	114531
1053	553.268	101932
1054	553.897	101190
1055	554.526	85505
1056	555.158	43045
1057	555.679	236
1058	555.939	44143
1059	556.504	54781
1060	557.102	44906
1061	557.646	141
1062	557.871	204
1063	558.131	45732
1064	558.694	52511
1065	559.293	55436
1066	559.881	44578
1067	560.476	50041
1068	561.069	48015
1069	561.620	220
1070	561.883	46044
1071	562.450	46078
1072	563.067	41959
1073	563.654	48962
1074	564.247	49126
1075	564.792	428
1076	565.002	244
1077	565.258	49103
1078	565.768	268
1079	566.027	93370
1080	566.625	81925
1081	567.254	85085
1082	567.888	81606
1083	568.513	95046
1084	569.096	709
1085	569.353	102144
1086	569.954	145880
1087	570.581	106926
1088	571.211	115149
1089	571.840	60257
1090	572.472	59716
1091	573.053	53113
1092	573.631	53055
1093	574.218	54604
1094	574.811	62043
1095	575.391	61137
1096	575.971	68790
1097	576.554	53539
1098	577.142	60993
1099	577.722	60042
1100	578.304	66509
1101	578.836	207
1102	579.120	110323
1103	579.718	109137
1104	580.347	117300
1105	580.977	50320
1106	581.566	57251
