Scan,ContainScans,BasePeak,MaxIntensity,RetentionTime,MostIntenseMass2Charge,CumulativeIntensity,TotalScans
259,544,430.888641357422,34709,2.44409833333333,430.889099121094,20549520,109370
260,533,430.888885498047,48567,2.453665,430.888916015625,20625547,109903
262,602,430.888732910156,42863,2.46680833333333,430.888854980469,20694183,110505
263,491,430.889190673828,62398,2.47582666666667,430.889129638672,20796101,110996
264,440,430.889343261719,76641,2.486315,430.889312744141,20917927,111436
265,478,430.889556884766,54366,2.49684666666667,430.889556884766,21005054,111914
266,670,430.888732910156,34723,2.50728666666667,430.889221191406,21065603,112584
267,730,430.888641357422,47818,2.51716,430.889007568359,21141416,113314
269,614,430.888885498047,36149,2.52997,430.888916015625,21199096,113928
270,656,430.888458251953,49734,2.53908,430.888916015625,21277600,114584
272,642,430.888793945313,38633,2.55230833333333,430.888946533203,21339709,115226
274,498,430.888885498047,33053,2.564995,430.889007568359,21393332,115724
275,646,430.88916015625,33051,2.57414,430.889099121094,21448082,116370
277,482,430.888641357422,32087,2.58715833333333,430.888946533203,21500001,116852
280,596,430.888977050781,49324,2.60345,430.889068603516,21576800,117448
281,648,430.888885498047,58986,2.61245833333333,430.888977050781,21668944,118096
283,622,430.888793945313,43350,2.62558,430.889282226563,21736825,118718
284,590,430.888793945313,44732,2.63473166666667,430.889373779297,21809102,119308
285,590,430.889434814453,32167,2.64418166666667,430.889343261719,21863975,119898
286,573,430.888793945313,34160,2.65374,430.889190673828,21920330,120471
288,573,430.88916015625,40819,2.66680333333333,430.889343261719,21989706,121044
289,670,430.889434814453,49541,2.675915,430.889404296875,22066627,121714
290,559,430.888977050781,33718,2.68539833333333,430.889312744141,22117452,122273
291,597,430.888793945313,32643,2.69497,430.889282226563,22171692,122870
292,696,430.888885498047,31452,2.704475,430.889221191406,22227111,123566
295,640,430.889343261719,30642,2.72149,430.889221191406,22280189,124206
296,748,430.88916015625,35185,2.73045,430.889251708984,22335901,124954
297,562,430.889068603516,30045,2.74007833333333,430.889190673828,22383823,125516
298,683,430.888732910156,31062,2.74990166666667,430.889221191406,22433677,126199
299,655,430.889251708984,31118,2.759065,430.889282226563,22483927,126854
300,694,430.889343261719,33097,2.76859666666667,430.889434814453,22536681,127548
301,693,430.888793945313,52382,2.77814166666667,430.889312744141,22618422,128241
302,551,430.888977050781,33182,2.78770333333333,430.889312744141,22672673,128792
303,575,430.889068603516,33720,2.79718333333333,430.889312744141,22725333,129367
304,632,430.888977050781,35061,2.806765,430.889526367188,22778206,129999
305,637,430.888977050781,33018,2.81663666666667,430.889465332031,22832741,130636
306,585,430.889251708984,33567,2.82598166666667,430.889251708984,22893442,131221
307,600,430.889068603516,37405,2.83554833333333,430.88916015625,22952405,131821
308,742,430.888885498047,41815,2.845215,430.888977050781,23021031,132563
309,586,430.88916015625,44329,2.854795,430.88916015625,23086948,133149
310,617,430.889068603516,29584,2.86439166666667,430.889068603516,23137295,133766
312,731,430.888732910156,31925,2.87738,430.88916015625,23190406,134497
313,575,430.889251708984,35056,2.88642333333333,430.889404296875,23245210,135072
315,679,430.888977050781,35514,2.899605,430.889282226563,23302784,135751
316,598,430.888977050781,38337,2.908685,430.889007568359,23364714,136349
317,576,430.888885498047,36157,2.91848333333333,430.889129638672,23422557,136925
318,625,430.888977050781,34673,2.92769833333333,430.88916015625,23478773,137550
319,679,430.888793945313,40637,2.937375,430.889129638672,23543176,138229
320,642,430.888793945313,33436,2.946925,430.889190673828,23600260,138871
322,591,430.888885498047,32621,2.960055,430.889007568359,23651155,139462
323,644,430.888977050781,31029,2.96911166666667,430.888977050781,23702799,140106
324,657,430.889251708984,28614,2.97873666666667,430.889373779297,23751690,140763
325,597,430.88916015625,39767,2.98827833333333,430.889068603516,23818378,141360
326,632,430.888732910156,38329,2.99782666666667,430.889007568359,23881589,141992
328,696,430.888885498047,33277,3.01098166666667,430.888885498047,23936203,142688
